3-AMINO-2-OXAZOLIDINONE	C1COC(=O)N1N
4-AMINOSALICYLIC ACID	C1=CC(=C(C=C1N)O)C(=O)O
5-FU	C1=C(C(=O)NC(=O)N1)F
6-HYDROXYBUSPIRONE	C1CCC2(C1)CC(=O)N(C(=O)C2O)CCCCN3CCN(CC3)C4=NC=CC=N4
A77 1726	CC(=C(C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F)O
ABACAVIR	C1CC1NC2=NC(=NC3=C2N=CN3C4CC(C=C4)CO)N
ACAMPROSATE	CC(=O)NCCCS(=O)(=O)O
ACARBOSE	CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO
ACETAZOLAMIDE	CC(=O)NC1=NN=C(S1)S(=O)(=O)N
ACETOHEXAMIDE	CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
ACETOHYDROXAMIC ACID	CC(=O)NO
ACITRETIN	CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC
ALBENDAZOLE	CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
ALISKIREN	CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N
ALTRETAMINE	CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
AMANTADINE	C1C2CC3CC1CC(C2)(C3)N
AMODIAQUINE	CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O
AMOXAPINE	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
AMPRENAVIR	CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N
ANASTROZOLE	CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
ARGATROBAN	CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C.O
ARIPIPRAZOLE	C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
ARMODAFINIL	C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N
ARTEMETHER	CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC)C
ASENAPINE	CN1CC2C(C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24
ATENOLOL	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
ATOVAQUONE	C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O
AURANOFIN	CCP(CC)CC.CC(=O)OCC1C(C(C(C(O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+]
AZACITIDINE	C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
AZATADINE	CN1CCC(=C2C3=CC=CC=C3CCC4=C2N=CC=C4)CC1
AZITHROMYCIN	CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
BACLOFEN	C1=CC(=CC=C1C(CC(=O)O)CN)Cl
BORTEZOMIB	B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
BOSENTAN	CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC
BUMETANIDE	CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
BUSPIRONE	C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
BUSULFAN	CS(=O)(=O)OCCCCOS(=O)(=O)C
CANRENONE	CC12CCC(=O)C=C1C=CC3C2CCC4(C3CCC45CCC(=O)O5)C
CARBOPLATIN	C1CC(C1)(C(=O)O)C(=O)O.[Pt]
