drugname1	drugname2	cell_line	synergy	fold
CLOPIDOGREL	TACROLIMUS	KBM-7	3.8	1
RUFINAMIDE	CHLOROQUINE	KBM-7	3.88	8
SILDENAFIL	ZALCITABINE	KBM-7	4.04	7
CLOPIDOGREL	PYRAZINAMIDE	KBM-7	3.97	9
METRONIDAZOLE	AZITHROMYCIN	KBM-7	4.28	9
CILASTATIN	LITHIUM CITRATE	KBM-7	3.96	3
IVERMECTIN	D-CYCLOSERINE	KBM-7	5.08	5
VALPROIC ACID	DIPHENIDOL	KBM-7	5.4	3
CITALOPRAM	ATOVAQUONE	KBM-7	4.15	1
HYDROXYCHLOROQUINE	METYROSINE	KBM-7	5.93	2
GABAPENTIN	NALTREXONE	KBM-7	4.31	5
DIPHENIDOL	CILASTATIN	KBM-7	4.3	6
MEBENDAZOLE	ETOMIDATE	KBM-7	4.34	3
TRIOXSALEN	DEXMEDETOMIDINE	KBM-7	4.09	2
HYDROXYCHLOROQUINE	ARGATROBAN	KBM-7	3.86	0
AMODIAQUINE	METYROSINE	KBM-7	4.51	8
ETOMIDATE	CLOFIBRATE	KBM-7	4.42	1
OXYPHENONIUM BROMIDE	RUFINAMIDE	KBM-7	3.99	5
NALTREXONE	LEVAMISOLE	KBM-7	3.85	2
BOSENTAN	SORAFENIB	KBM-7	4.99	7
DIPHENIDOL	CITALOPRAM	KBM-7	4.13	4
LEVETIRACETAM	3-AMINO-2-OXAZOLIDINONE	KBM-7	3.94	4
ZONISAMIDE	METFORMIN	KBM-7	4.4	6
DIPHENIDOL	CHLOROQUINE	KBM-7	5.56	7
METFORMIN	GALANTAMINE	KBM-7	5.82	3
NALTREXONE	CLOFIBRATE	KBM-7	3.82	9
ACARBOSE	PRIMIDONE	KBM-7	4.1	1
AZITHROMYCIN	ZONISAMIDE	KBM-7	4.4	3
BUSULFAN	PYRAZINAMIDE	KBM-7	4.12	9
GALANTAMINE	TRIAMTERENE	KBM-7	4.51	0
TACRINE	NATEGLINIDE	KBM-7	4.18	3
GUANFACINE	ZONISAMIDE	KBM-7	3.84	5
SULFAMETER	METYROSINE	KBM-7	5.02	8
TRIAMTERENE	GABAPENTIN	KBM-7	4.67	4
METYROSINE	SULBACTAM	KBM-7	5.19	5
LEVETIRACETAM	PRAZIQUANTEL	KBM-7	3.92	8
PHENSUXIMIDE	TRANYLCYPROMINE	KBM-7	3.88	8
RISPERIDONE	AZITHROMYCIN	KBM-7	3.81	4
MECAMYLAMINE	ASENAPINE	KBM-7	4.84	5
ACETAZOLAMIDE	TACRINE	KBM-7	4.22	0
LACOSAMIDE	STANOZOLOL	KBM-7	3.99	3
ETOMIDATE	VALPROIC ACID	KBM-7	8.43	2
IMIPRAMINE	ALTRETAMINE	KBM-7	6.04	2
ZAFIRLUKAST	CEFMENOXIME	KBM-7	5.36	6
CEVIMELINE	TACRINE	KBM-7	4.37	2
PROCARBAZINE	BACLOFEN	KBM-7	3.83	0
PYRAZINAMIDE	FENOPROFEN	KBM-7	7.71	6
IVERMECTIN	ZALEPLON	KBM-7	10.8	9
METYROSINE	ALISKIREN	KBM-7	5.48	9
OLMESARTAN	CARGLUMIC ACID	KBM-7	4.29	4
PYRAZINAMIDE	MECAMYLAMINE	KBM-7	5.65	0
MECAMYLAMINE	GABAPENTIN	KBM-7	5.76	7
NISOLDIPINE	MEBENDAZOLE	KBM-7	4.44	1
OLMESARTAN	BUSULFAN	KBM-7	4.05	1
ATENOLOL	AZITHROMYCIN	KBM-7	5.22	6
PROBUCOL	SUMATRIPTAN	KBM-7	5.3	8
CARGLUMIC ACID	SN-38	KBM-7	3.78	1
NATEGLINIDE	MESALAZINE	KBM-7	5.28	6
TERAZOSIN	ENOXACIN	KBM-7	4.22	2
TESTOLACTONE	OXYPHENONIUM BROMIDE	KBM-7	5.92	8
3-AMINO-2-OXAZOLIDINONE	CARGLUMIC ACID	KBM-7	4.56	9
IMIPRAMINE	TETRABENAZINE	KBM-7	4.3	8
LEVETIRACETAM	HYDROXYMETRONIDAZOLE	KBM-7	3.89	9
3-AMINO-2-OXAZOLIDINONE	PROPYLTHIOURACIL	KBM-7	4.04	1
TRIOXSALEN	SORAFENIB	KBM-7	8.49	9
PROPYLTHIOURACIL	BACLOFEN	KBM-7	3.85	9
METHYLERGONOVINE	SORAFENIB	KBM-7	7.47	2
SORAFENIB	DESOXYCORTICOSTERONE PIVALATE	KBM-7	7.74	6
RAMELTEON	GALANTAMINE	KBM-7	6.57	0
TRIOXSALEN	PYRAZINAMIDE	KBM-7	6.9	8
ISOSORBIDE DINITRATE	ATOVAQUONE	KBM-7	5.29	8
NALTREXONE	METHYCLOTHIAZIDE	KBM-7	5.75	4
TESTOLACTONE	MIGLUSTAT	KBM-7	4.57	4
PROPYLTHIOURACIL	VARENICLINE	KBM-7	4.45	7
SUMATRIPTAN	NIZATIDINE	KBM-7	5.88	5
ARGATROBAN	MINOXIDIL	KBM-7	4.61	1
SN-38	GALANTAMINE	KBM-7	5.99	9
TRIHEXYPHENIDYL	PYRAZINAMIDE	KBM-7	3.89	0
TACRINE	OSELTAMIVIR	KBM-7	4.22	2
PIPERAZINE HEXAHYDRATE	ASENAPINE	KBM-7	4.14	1
TRIOXSALEN	ZONISAMIDE	KBM-7	5.85	3
