drugname1	drugname2	cell_line	synergy	fold
ZALCITABINE	ALTRETAMINE	KBM-7	4.15	7
PYRAZINOIC ACID	TRANEXAMIC ACID	KBM-7	4.43	7
DEXTROMETHORPHAN	TESTOLACTONE	KBM-7	4.33	4
TOLAZOLINE	PYRAZINAMIDE	KBM-7	4.37	5
NABILONE	FENOPROFEN	KBM-7	5.75	5
PROBUCOL	TINIDAZOLE	KBM-7	3.88	1
METYROSINE	ASENAPINE	KBM-7	4.46	5
DEXTROMETHORPHAN	PALONOSETRON	KBM-7	4.52	9
HYDROXYCHLOROQUINE	MESALAZINE	KBM-7	4.38	5
CHLOROQUINE	TRANEXAMIC ACID	KBM-7	4.78	7
SORAFENIB	ACETOHEXAMIDE	KBM-7	3.94	5
ATOVAQUONE	METRONIDAZOLE	KBM-7	4.44	4
PENTOLINIUM TARTRATE	PYRAZINAMIDE	KBM-7	4.5	2
TOLAZOLINE	PROBUCOL	KBM-7	5.52	7
PYRAZINAMIDE	PALONOSETRON	KBM-7	4.39	6
TOLAZOLINE	RAMELTEON	KBM-7	4.3	4
NIZATIDINE	SILDENAFIL	KBM-7	3.92	9
STANOZOLOL	METFORMIN	KBM-7	4.96	4
ASENAPINE	CILASTATIN	KBM-7	3.93	9
CILASTATIN	BACLOFEN	KBM-7	4.2	2
PROBUCOL	NIZATIDINE	KBM-7	4.73	7
ALTRETAMINE	TERAZOSIN	KBM-7	4.46	4
TRANYLCYPROMINE	SORAFENIB	KBM-7	4.1	3
CILASTATIN	PYRAZINAMIDE	KBM-7	4.82	5
TESTOLACTONE	MINOXIDIL	KBM-7	4.42	3
ASENAPINE	PYRAZINAMIDE	KBM-7	4.26	7
TRANEXAMIC ACID	MEBENDAZOLE	KBM-7	4.58	8
GABAPENTIN	LEVETIRACETAM	KBM-7	4.82	0
ALTRETAMINE	TRANEXAMIC ACID	KBM-7	5.35	8
CHLOROQUINE	NALTREXONE	KBM-7	5.05	5
ZALCITABINE	CEFMENOXIME	KBM-7	6.94	5
ATOVAQUONE	ARGATROBAN	KBM-7	3.91	5
METFORMIN	ENTACAPONE	KBM-7	4.29	7
SORAFENIB	MESALAZINE	KBM-7	5.51	9
DUTASTERIDE	ACETAZOLAMIDE	KBM-7	3.91	3
STANOZOLOL	METAXALONE	KBM-7	4.13	8
TRIOXSALEN	ETOMIDATE	KBM-7	4.51	2
ZALCITABINE	ARMODAFINIL	KBM-7	5.37	3
3-AMINO-2-OXAZOLIDINONE	PYRAZINAMIDE	KBM-7	4.02	3
3-AMINO-2-OXAZOLIDINONE	METHYLERGONOVINE	KBM-7	4.05	6
CHLOROQUINE	ZALCITABINE	KBM-7	5.77	7
ACETOHEXAMIDE	PYRAZINOIC ACID	KBM-7	3.87	2
AZATADINE	TOLAZOLINE	KBM-7	3.89	6
METRONIDAZOLE	TOLAZOLINE	KBM-7	5.23	9
ARMODAFINIL	CANRENONE	KBM-7	3.91	7
GABAPENTIN	LUMEFANTRINE	KBM-7	5.05	6
CILASTATIN	PYRAZINOIC ACID	KBM-7	5.37	4
LITHIUM CITRATE	ALTRETAMINE	KBM-7	4.31	0
EZETIMIBE	HYDROXYCHLOROQUINE	KBM-7	4.56	9
DEXMEDETOMIDINE	METAXALONE	KBM-7	4.31	1
NIZATIDINE	LEVETIRACETAM	KBM-7	5.26	6
LUMEFANTRINE	PROBUCOL	KBM-7	4.19	0
EZETIMIBE	CILASTATIN	KBM-7	4.69	2
