drugname1	drugname2	cell_line	synergy	fold
TESTOLACTONE	EZETIMIBE	KBM-7	30.47	6
HYDROXYCHLOROQUINE	STANOZOLOL	KBM-7	30.67	7
METFORMIN	CILASTATIN	KBM-7	30.19	8
TRANYLCYPROMINE	MEBENDAZOLE	KBM-7	30.13	1
NIZATIDINE	METYROSINE	KBM-7	31.34	6
MESALAZINE	PRIMIDONE	KBM-7	30.82	5
ZONISAMIDE	ARMODAFINIL	KBM-7	30.08	0
FENOPROFEN	ARGATROBAN	KBM-7	30.53	4
GUANFACINE	CLOFIBRATE	KBM-7	30.13	8
TESTOLACTONE	ETHINYL ESTRADIOL	KBM-7	30.23	2
STANOZOLOL	FLUMAZENIL	KBM-7	31.39	3
MECAMYLAMINE	PARGYLINE	KBM-7	30.37	2
METHYLERGONOVINE	PRIMIDONE	KBM-7	30.25	3
ORLISTAT	CARGLUMIC ACID	KBM-7	30.17	0
ASENAPINE	METHYCLOTHIAZIDE	KBM-7	31.64	9
ACETAZOLAMIDE	CILASTATIN	KBM-7	30.65	4
PRIMIDONE	METAXALONE	KBM-7	30.64	2
TESTOLACTONE	ACARBOSE	KBM-7	32.76	5
MILRINONE	OSELTAMIVIR	KBM-7	30.11	3
ACARBOSE	MILRINONE	KBM-7	31.14	2
PROBUCOL	6-HYDROXYBUSPIRONE	KBM-7	31.13	1
DUTASTERIDE	ANASTROZOLE	KBM-7	31.53	3
PYRAZINAMIDE	THALIDOMIDE	KBM-7	31.3	2
GUANFACINE	PRIMIDONE	KBM-7	31.12	7
MESALAZINE	ENALAPRILAT	KBM-7	31.54	6
CANRENONE	AZATADINE	KBM-7	30.72	6
ENTACAPONE	ATOVAQUONE	KBM-7	31.35	5
NISOLDIPINE	LEVETIRACETAM	KBM-7	31.43	4
TESTOLACTONE	FLUMAZENIL	KBM-7	32.83	8
ILOPROST	ARMODAFINIL	KBM-7	31.25	1
CEVIMELINE	TOPIRAMATE	KBM-7	31.25	0
TOPIRAMATE	TRANYLCYPROMINE	KBM-7	30.25	6
ILOPROST	ETHINYL ESTRADIOL	KBM-7	31.33	8
DIETHYLCARBAMAZINE	CARGLUMIC ACID	KBM-7	30.13	4
