drugname1	drugname2	cell_line	synergy	fold
TESTOLACTONE	PYRAZINOIC ACID	KBM-7	3.38	1
CILASTATIN	VALPROIC ACID	KBM-7	3.35	0
CLOPIDOGREL	TACROLIMUS	KBM-7	3.8	4
SORAFENIB	ZONISAMIDE	KBM-7	3.32	5
BOSENTAN	CEFMENOXIME	KBM-7	2.97	9
CEFMENOXIME	ENALAPRILAT	KBM-7	3.6	4
GALANTAMINE	METRONIDAZOLE	KBM-7	3.64	0
RUFINAMIDE	CHLOROQUINE	KBM-7	3.88	3
ARMODAFINIL	CLOPIDOGREL	KBM-7	2.76	7
SILDENAFIL	ZALCITABINE	KBM-7	4.04	9
SULFAMETER	VALPROIC ACID	KBM-7	2.85	4
LUMEFANTRINE	STANOZOLOL	KBM-7	3.36	3
PROBUCOL	MARAVIROC	KBM-7	2.76	0
GUANFACINE	TRANEXAMIC ACID	KBM-7	3.12	7
CLOPIDOGREL	PYRAZINAMIDE	KBM-7	3.97	7
LEVETIRACETAM	TRIOXSALEN	KBM-7	3.06	7
MINOXIDIL	CLOPIDOGREL	KBM-7	3.08	9
EZETIMIBE	LITHIUM CITRATE	KBM-7	3.19	9
METRONIDAZOLE	AZITHROMYCIN	KBM-7	4.28	2
NISOLDIPINE	NIZATIDINE	KBM-7	3.31	0
CILASTATIN	LITHIUM CITRATE	KBM-7	3.96	3
TRIOXSALEN	CLOFIBRATE	KBM-7	2.84	7
ALTRETAMINE	MILRINONE	KBM-7	2.84	0
IVERMECTIN	D-CYCLOSERINE	KBM-7	5.08	4
VALPROIC ACID	DIPHENIDOL	KBM-7	5.4	3
CITALOPRAM	ATOVAQUONE	KBM-7	4.15	9
HYDROXYCHLOROQUINE	METYROSINE	KBM-7	5.93	5
LUMEFANTRINE	LITHIUM CITRATE	KBM-7	3.08	2
ATOVAQUONE	MEMANTINE	KBM-7	2.92	9
GABAPENTIN	NALTREXONE	KBM-7	4.31	6
DIPHENIDOL	CILASTATIN	KBM-7	4.3	3
SN-38	METFORMIN	KBM-7	3.18	5
IMIPRAMINE	ZONISAMIDE	KBM-7	2.83	2
PARGYLINE	CITALOPRAM	KBM-7	2.89	8
MEBENDAZOLE	ETOMIDATE	KBM-7	4.34	5
CEVIMELINE	LEVETIRACETAM	KBM-7	2.92	0
RAMELTEON	DEXMEDETOMIDINE	KBM-7	3.5	9
TRIOXSALEN	DEXMEDETOMIDINE	KBM-7	4.09	6
OLMESARTAN MEDOXOMIL	METFORMIN	KBM-7	3.19	9
HYDROXYCHLOROQUINE	ARGATROBAN	KBM-7	3.86	6
AMODIAQUINE	METYROSINE	KBM-7	4.51	4
AZATADINE	ILOPROST	KBM-7	2.65	8
ETOMIDATE	CLOFIBRATE	KBM-7	4.42	1
ATOVAQUONE	SITAGLIPTIN	KBM-7	3.29	1
NISOLDIPINE	RAMELTEON	KBM-7	3.19	3
OXYPHENONIUM BROMIDE	RUFINAMIDE	KBM-7	3.99	5
ZALEPLON	OLMESARTAN	KBM-7	3.04	0
NALTREXONE	LEVAMISOLE	KBM-7	3.85	5
BOSENTAN	SORAFENIB	KBM-7	4.99	8
DIPHENIDOL	CITALOPRAM	KBM-7	4.13	3
OLMESARTAN	MECAMYLAMINE	KBM-7	3.38	3
LEVETIRACETAM	3-AMINO-2-OXAZOLIDINONE	KBM-7	3.94	7
METHYCLOTHIAZIDE	PRIMIDONE	KBM-7	3.4	2
TETRABENAZINE	VARENICLINE	KBM-7	3.21	2
ZONISAMIDE	METFORMIN	KBM-7	4.4	7
DIPHENIDOL	CHLOROQUINE	KBM-7	5.56	6
ZALEPLON	CARGLUMIC ACID	KBM-7	2.72	2
METFORMIN	GALANTAMINE	KBM-7	5.82	1
NALTREXONE	CLOFIBRATE	KBM-7	3.82	4
ACARBOSE	PRIMIDONE	KBM-7	4.1	2
TERAZOSIN	CANRENONE	KBM-7	3.1	0
AZITHROMYCIN	ZONISAMIDE	KBM-7	4.4	3
RAMELTEON	ENOXACIN	KBM-7	3.24	3
VECURONIUM BROMIDE	CHLOROQUINE	KBM-7	3.3	9
AZATADINE	PRIMIDONE	KBM-7	3.51	6
BUSULFAN	PYRAZINAMIDE	KBM-7	4.12	9
TETRABENAZINE	CARGLUMIC ACID	KBM-7	2.72	0
3-AMINO-2-OXAZOLIDINONE	PHENSUXIMIDE	KBM-7	3.02	1
SULBACTAM	LEVETIRACETAM	KBM-7	3.15	2
GALANTAMINE	TRIAMTERENE	KBM-7	4.51	8
RISPERIDONE	ARMODAFINIL	KBM-7	3.29	3
PROCARBAZINE	RAMELTEON	KBM-7	3.58	6
3-AMINO-2-OXAZOLIDINONE	TRIAMTERENE	KBM-7	3.56	0
TACRINE	NATEGLINIDE	KBM-7	4.18	1
MILRINONE	ENTACAPONE	KBM-7	2.85	4
GUANFACINE	ZONISAMIDE	KBM-7	3.84	0
SULFAMETER	METYROSINE	KBM-7	5.02	3
TRIAMTERENE	GABAPENTIN	KBM-7	4.67	0
METYROSINE	SULBACTAM	KBM-7	5.19	0
LEVETIRACETAM	PRAZIQUANTEL	KBM-7	3.92	5
BACLOFEN	BUMETANIDE	KBM-7	3.3	8
PHENSUXIMIDE	TRANYLCYPROMINE	KBM-7	3.88	1
ZONISAMIDE	OSELTAMIVIR	KBM-7	3.11	3
RISPERIDONE	AZITHROMYCIN	KBM-7	3.81	5
MECAMYLAMINE	ASENAPINE	KBM-7	4.84	9
ACETAZOLAMIDE	TACRINE	KBM-7	4.22	3
LACOSAMIDE	STANOZOLOL	KBM-7	3.99	6
ETOMIDATE	VALPROIC ACID	KBM-7	8.43	9
IMIPRAMINE	ALTRETAMINE	KBM-7	6.04	3
ZAFIRLUKAST	CEFMENOXIME	KBM-7	5.36	4
CARMUSTINE	NISOLDIPINE	KBM-7	2.74	8
DESOXYCORTICOSTERONE PIVALATE	NORCISAPRIDE	KBM-7	2.96	3
CEVIMELINE	TACRINE	KBM-7	4.37	4
FOMEPIZOLE	CANRENONE	KBM-7	3.67	7
PROCARBAZINE	BACLOFEN	KBM-7	3.83	3
CANRENONE	ARGATROBAN	KBM-7	3.23	5
OXYPHENONIUM BROMIDE	ENALAPRILAT	KBM-7	3.65	7
PYRAZINAMIDE	FENOPROFEN	KBM-7	7.71	5
IVERMECTIN	ZALEPLON	KBM-7	10.8	5
METYROSINE	ALISKIREN	KBM-7	5.48	8
OLMESARTAN	CARGLUMIC ACID	KBM-7	4.29	2
PYRAZINAMIDE	MECAMYLAMINE	KBM-7	5.65	5
MECAMYLAMINE	GABAPENTIN	KBM-7	5.76	4
SUMATRIPTAN	MILRINONE	KBM-7	3.01	7
NISOLDIPINE	MEBENDAZOLE	KBM-7	4.44	6
OLMESARTAN	BUSULFAN	KBM-7	4.05	0
ATENOLOL	AZITHROMYCIN	KBM-7	5.22	1
PROBUCOL	SUMATRIPTAN	KBM-7	5.3	1
CARGLUMIC ACID	SN-38	KBM-7	3.78	9
NATEGLINIDE	MESALAZINE	KBM-7	5.28	4
TERAZOSIN	ENOXACIN	KBM-7	4.22	3
TESTOLACTONE	OXYPHENONIUM BROMIDE	KBM-7	5.92	4
3-AMINO-2-OXAZOLIDINONE	CARGLUMIC ACID	KBM-7	4.56	4
ENTACAPONE	LUBIPROSTONE	KBM-7	3.41	0
IMIPRAMINE	TETRABENAZINE	KBM-7	4.3	0
LEVETIRACETAM	HYDROXYMETRONIDAZOLE	KBM-7	3.89	3
3-AMINO-2-OXAZOLIDINONE	PROPYLTHIOURACIL	KBM-7	4.04	6
MARAVIROC	DIETHYLCARBAMAZINE	KBM-7	3.12	0
TRIOXSALEN	SORAFENIB	KBM-7	8.49	5
PROPYLTHIOURACIL	BACLOFEN	KBM-7	3.85	5
METHYLERGONOVINE	SORAFENIB	KBM-7	7.47	2
PINACIDIL	BOSENTAN	KBM-7	2.87	4
D-CYCLOSERINE	TACROLIMUS	KBM-7	3.65	9
SORAFENIB	DESOXYCORTICOSTERONE PIVALATE	KBM-7	7.74	8
RAMELTEON	GALANTAMINE	KBM-7	6.57	3
TRIOXSALEN	PYRAZINAMIDE	KBM-7	6.9	4
TERAZOSIN	DIETHYLCARBAMAZINE	KBM-7	3.64	6
ISOSORBIDE DINITRATE	ATOVAQUONE	KBM-7	5.29	5
NIZATIDINE	MEPHENYTOIN	KBM-7	3.65	2
NALTREXONE	METHYCLOTHIAZIDE	KBM-7	5.75	4
MIGLUSTAT	AZATADINE	KBM-7	3.33	3
TESTOLACTONE	MIGLUSTAT	KBM-7	4.57	4
DIETHYLCARBAMAZINE	OLMESARTAN MEDOXOMIL	KBM-7	2.78	7
PROPYLTHIOURACIL	VARENICLINE	KBM-7	4.45	5
SUMATRIPTAN	NIZATIDINE	KBM-7	5.88	2
ARGATROBAN	MINOXIDIL	KBM-7	4.61	6
SN-38	GALANTAMINE	KBM-7	5.99	9
TRIHEXYPHENIDYL	PYRAZINAMIDE	KBM-7	3.89	3
TACRINE	OSELTAMIVIR	KBM-7	4.22	4
PIPERAZINE HEXAHYDRATE	ASENAPINE	KBM-7	4.14	7
TRIOXSALEN	ZONISAMIDE	KBM-7	5.85	0
TESTOLACTONE	METFORMIN	KBM-7	7.59	2
THALIDOMIDE	DESOXYCORTICOSTERONE PIVALATE	KBM-7	4.17	3
TOPIRAMATE	SITAGLIPTIN	KBM-7	2.65	1
TOPIRAMATE	LUBIPROSTONE	KBM-7	2.77	9
TESTOLACTONE	VALPROIC ACID	KBM-7	9.28	1
CITALOPRAM	METYROSINE	KBM-7	7.73	3
CANRENONE	TRANYLCYPROMINE	KBM-7	5.33	9
DIHYDROERGOTAMINE	ISONIAZID	KBM-7	3.1	5
METYROSINE	DOPAMINE	KBM-7	5.41	3
SULBACTAM	EPTIFIBATIDE	KBM-7	3.71	5
IMIPRAMINE	CILASTATIN	KBM-7	6.84	4
VECURONIUM BROMIDE	NIZATIDINE	KBM-7	4.78	3
FLUMAZENIL	MEBENDAZOLE	KBM-7	5.45	4
FENOPROFEN	ACARBOSE	KBM-7	8.24	6
ORLISTAT	OSELTAMIVIR	KBM-7	3.91	0
THIOTEPA	LIOTHYRONINE	KBM-7	6.52	0
TETRABENAZINE	OSELTAMIVIR ACID	KBM-7	2.9	4
ILOPROST	PIPERAZINE HEXAHYDRATE	KBM-7	3.28	6
AMODIAQUINE	MINOXIDIL SULFATE	KBM-7	3.01	4
TOLVAPTAN	VALPROIC ACID	KBM-7	3.98	8
NALTREXONE	MINOXIDIL	KBM-7	6.09	6
ACETOHEXAMIDE	EPTIFIBATIDE	KBM-7	5.07	8
TRANEXAMIC ACID	PROCARBAZINE	KBM-7	6.58	7
LITHIUM CITRATE	DEXCHLORPHENIRAMINE	KBM-7	5.53	7
METHYLERGONOVINE	PRAZIQUANTEL	KBM-7	4.72	3
VALPROIC ACID	ALISKIREN	KBM-7	7.14	3
