drugname1	drugname2	cell_line	synergy	fold
(-)-Blebbistatin	temozolomide	T98G	8.91745735115947	9
parthenolide	temozolomide	T98G	9.83715933213237	8
levamisole	temozolomide	T98G	9.22802574487417	0
10058-F4	temozolomide	T98G	10.0569015704713	7
Tanespimycin	temozolomide	T98G	9.229981091691	9
20-HYDROXYECDYSONE	temozolomide	T98G	10.3182200824846	7
A-674563	temozolomide	T98G	18.4946584534841	6
BMS-599626	temozolomide	T98G	22.9120098087735	1
ACADESINE	temozolomide	T98G	15.3232298463945	4
acarbose	temozolomide	T98G	7.90990876695857	0
Acitretin	temozolomide	T98G	36.17187646289	9
ADEFOVIR DIPIVOXIL	temozolomide	T98G	23.0214057867025	4
adenosine	temozolomide	T98G	6.09811848804747	3
ADX-47273	temozolomide	T98G	16.2707488215081	6
Afatinib	temozolomide	T98G	52.3815210428121	3
AG-1478	temozolomide	T98G	17.6320244738312	6
Agomelatine	temozolomide	T98G	4.58149028351876	3
Albendazole oxide	temozolomide	T98G	18.8260913733499	6
Alisertib	temozolomide	T98G	5.69531245269452	1
Aloe-emodin	temozolomide	T98G	5.18271029955917	7
Aloperine	temozolomide	T98G	8.61585441192587	1
alprostadil	temozolomide	T98G	8.64083431241777	8
altretamine	temozolomide	T98G	21.4797681415148	8
Ambrisentan	temozolomide	T98G	5.73664317988637	8
AMG-458	temozolomide	T98G	28.2205862861108	6
AMILORIDE HYDROCHLORIDE	temozolomide	T98G	11.6025441461388	8
amisulpride	temozolomide	T98G	4.10764647714621	6
Amonafide	temozolomide	T98G	7.29429361441511	7
amprenavir	temozolomide	T98G	9.07202526066537	0
Amuvatinib	temozolomide	T98G	36.0717371783634	1
Anacetrapib	temozolomide	T98G	4.79367887547407	2
anastrozole	temozolomide	T98G	10.1016097154484	6
aniracetam	temozolomide	T98G	12.3357875618414	5
Apatinib	temozolomide	T98G	26.1064882514325	4
Apixaban	temozolomide	T98G	10.4690145443193	1
AR-42	temozolomide	T98G	9.63242018123549	3
arecoline	temozolomide	T98G	5.56469673046617	3
artemisinin	temozolomide	T98G	10.9056108249151	5
AS-604850	temozolomide	T98G	8.65008313220027	4
Asenapine	temozolomide	T98G	13.8983684883696	8
aspirin	temozolomide	T98G	5.38028096527667	5
