drugname1	drugname2	cell_line	synergy	fold
(-)-Blebbistatin	temozolomide	T98G	13.1761498784657	6
levamisole	temozolomide	T98G	6.94832833920989	6
Matrine	temozolomide	T98G	8.41478481533057	0
10058-F4	temozolomide	T98G	13.0910996299272	8
Tanespimycin	temozolomide	T98G	5.25644421138331	9
20-HYDROXYECDYSONE	temozolomide	T98G	11.0079273662016	7
5-hydroxytryptophan	temozolomide	T98G	8.59320965230684	8
A-674563	temozolomide	T98G	13.5266683905198	1
BMS-599626	temozolomide	T98G	27.5798034286276	5
ACADESINE	temozolomide	T98G	15.1577884410871	0
ACIPIMOX	temozolomide	T98G	11.926055554832	8
Acitretin	temozolomide	T98G	22.4024124892661	3
ADEFOVIR DIPIVOXIL	temozolomide	T98G	13.6223792904832	3
adenosine	temozolomide	T98G	22.6950222937165	6
ADX-47273	temozolomide	T98G	22.8349613134316	3
Afatinib	temozolomide	T98G	38.1162002661895	6
AG-1478	temozolomide	T98G	24.6932041384011	8
AGI-5198	temozolomide	T98G	8.45894789253293	7
Albendazole oxide	temozolomide	T98G	10.9594271808791	1
Alibendol	temozolomide	T98G	27.7571179745196	4
Aloe-emodin	temozolomide	T98G	24.8204534848594	1
Aloperine	temozolomide	T98G	7.79738009075919	6
alprostadil	temozolomide	T98G	4.83460637725453	6
altretamine	temozolomide	T98G	19.0580976012617	9
Ambrisentan	temozolomide	T98G	37.206084845201	6
AMG-458	temozolomide	T98G	30.6156632238354	8
AMILORIDE HYDROCHLORIDE	temozolomide	T98G	8.57387475089886	9
amprenavir	temozolomide	T98G	43.3517902703823	9
Amuvatinib	temozolomide	T98G	34.0166571042431	0
Anacetrapib	temozolomide	T98G	24.8995452746375	1
anastrozole	temozolomide	T98G	7.35941947181325	2
Andrographolide	temozolomide	T98G	12.2785362559285	6
aniracetam	temozolomide	T98G	9.94610575065052	5
Apatinib	temozolomide	T98G	24.194585642015	4
Apixaban	temozolomide	T98G	5.80974999877343	1
AR-42	temozolomide	T98G	7.69825299209509	7
arbutin	temozolomide	T98G	16.4760550167976	6
arecoline	temozolomide	T98G	24.9959509239549	4
Artemether	temozolomide	T98G	3.90985761044658	3
AS-604850	temozolomide	T98G	24.7552085032228	6
Asenapine	temozolomide	T98G	17.5733320930207	7
aspirin	temozolomide	T98G	19.8407054843908	9
AST-1306	temozolomide	T98G	38.3854685355573	0
Astragaloside A	temozolomide	T98G	10.7738674129086	1
