drugname1	drugname2	cell_line	synergy	fold
Acitretin	temozolomide	T98G	36.1908358563811	4
Afatinib	temozolomide	T98G	52.3978857534398	4
Amuvatinib	temozolomide	T98G	36.0718396602643	8
Sapitinib	temozolomide	T98G	33.0324386381801	3
BIX02188	temozolomide	T98G	30.4404149605371	4
BMS-777607	temozolomide	T98G	35.7094399908717	5
Bosutinib	temozolomide	T98G	33.2051224634712	0
BX-912	temozolomide	T98G	36.0413649684576	7
alpelisib	temozolomide	T98G	49.4632040965873	8
Cabozantinib	temozolomide	T98G	59.982029714832	5
Cediranib	temozolomide	T98G	37.1261504812522	9
CEP-32496	temozolomide	T98G	55.5221647822276	6
CEP-33779	temozolomide	T98G	46.0203839870292	9
chloroxine	temozolomide	T98G	30.588661192646	7
Cilengitide	temozolomide	T98G	41.7048661962705	6
Rociletinib	temozolomide	T98G	31.3347563244958	5
Dacomitinib	temozolomide	T98G	69.6942711866037	7
ERASTIN	temozolomide	T98G	37.6153641379225	8
etoposide	temozolomide	T98G	42.8248095401915	7
geldanamycin	temozolomide	T98G	32.2116966417387	9
Golvatinib	temozolomide	T98G	49.8200901308082	0
Duvelisib	temozolomide	T98G	30.9500378914564	5
Isotretinoin	temozolomide	T98G	40.2353960575264	6
KRN-633	temozolomide	T98G	40.6440782637658	1
Ku-0063794	temozolomide	T98G	50.4033980758644	8
KU-60019	temozolomide	T98G	43.1271189629343	3
ceritinib	temozolomide	T98G	76.6069035849188	6
Lenvatinib	temozolomide	T98G	53.3672018773969	4
Masitinib	temozolomide	T98G	37.2191657644141	1
MK-2461	temozolomide	T98G	53.0622266384032	2
MK-8245	temozolomide	T98G	43.4002043031132	9
Moxifloxacin hydrochloride	temozolomide	T98G	56.0807560814718	2
Nilotinib	temozolomide	T98G	49.4795202250804	9
NVP-AEW541	temozolomide	T98G	49.5478850369288	8
NVP-BHG712	temozolomide	T98G	75.1103217561972	9
Olaparib	temozolomide	T98G	56.6317588257276	1
orlistat	temozolomide	T98G	38.399829623968	2
OSI-027	temozolomide	T98G	30.1751695945437	3
Pazopanib	temozolomide	T98G	50.160687945527	5
PF-3845	temozolomide	T98G	50.8705962313127	5
PF-477736	temozolomide	T98G	53.2335932636235	6
PHA-680632	temozolomide	T98G	41.967637038919	3
PI-103	temozolomide	T98G	34.478764072546	0
PIK-93	temozolomide	T98G	46.2386808601521	2
Pimasertib	temozolomide	T98G	73.470712833784	4
PLX-4720	temozolomide	T98G	40.0462481538805	4
Posaconazole	temozolomide	T98G	70.97929754692	7
Quizartinib	temozolomide	T98G	36.3560831241764	9
Regorafenib	temozolomide	T98G	37.9613750082222	8
Saracatinib	temozolomide	T98G	63.5396128980332	3
SGI-1776	temozolomide	T98G	78.6747988330975	7
SGX-523	temozolomide	T98G	49.9057977327402	3
Sorafenib	temozolomide	T98G	33.260847368986	8
StemRegenin 1	temozolomide	T98G	30.1606171905688	4
TAK-733	temozolomide	T98G	34.1116997727308	1
Tamibarotene	temozolomide	T98G	36.4490532676011	7
tazarotene	temozolomide	T98G	49.7513850844808	1
TGX-221	temozolomide	T98G	30.7947358457239	6
Tipifarnib	temozolomide	T98G	43.4867508546639	0
Tivozanib	temozolomide	T98G	35.9683909652012	2
Trametinib	temozolomide	T98G	47.5045509239715	0
Triciribine	temozolomide	T98G	31.0702533427295	2
Trifluridine	temozolomide	T98G	32.7519395188832	0
Vandetanib	temozolomide	T98G	37.8941563533848	1
Veliparib	temozolomide	T98G	51.2306422530363	1
Vemurafenib	temozolomide	T98G	44.8694799968413	2
WAY-600	temozolomide	T98G	32.3676879109575	6
(-)-Blebbistatin	temozolomide	T98G	8.9175598330604	9
