drugname1	drugname2	cell_line	synergy	fold
(-)-Blebbistatin	temozolomide	T98G	13.1761498783657	6
levamisole	temozolomide	T98G	6.94832833910989	6
Matrine	temozolomide	T98G	8.41478481523058	0
10058-F4	temozolomide	T98G	13.0910996298272	1
Tanespimycin	temozolomide	T98G	5.25644421128331	7
20-HYDROXYECDYSONE	temozolomide	T98G	11.0079273661016	2
5-hydroxytryptophan	temozolomide	T98G	8.59320965220684	5
A-674563	temozolomide	T98G	13.5266683904198	0
BMS-599626	temozolomide	T98G	27.5798034285276	4
ACADESINE	temozolomide	T98G	15.1577884409871	1
ACIPIMOX	temozolomide	T98G	11.926055554732	9
Acitretin	temozolomide	T98G	22.4024124891661	6
ADEFOVIR DIPIVOXIL	temozolomide	T98G	13.6223792903832	2
adenosine	temozolomide	T98G	22.6950222936165	1
ADX-47273	temozolomide	T98G	22.8349613133316	6
Afatinib	temozolomide	T98G	38.1162002660895	9
AG-1478	temozolomide	T98G	24.693204138301	7
AGI-5198	temozolomide	T98G	8.45894789243293	4
Albendazole oxide	temozolomide	T98G	10.9594271807791	4
Alibendol	temozolomide	T98G	27.7571179744196	2
Aloe-emodin	temozolomide	T98G	24.8204534847594	6
Aloperine	temozolomide	T98G	7.79738009065919	2
alprostadil	temozolomide	T98G	4.83460637715454	6
altretamine	temozolomide	T98G	19.0580976011617	6
Ambrisentan	temozolomide	T98G	37.206084845101	1
AMG-458	temozolomide	T98G	30.6156632237354	8
AMILORIDE HYDROCHLORIDE	temozolomide	T98G	8.57387475079886	0
amprenavir	temozolomide	T98G	43.3517902702823	6
Amuvatinib	temozolomide	T98G	34.0166571041431	5
Anacetrapib	temozolomide	T98G	24.8995452745375	8
anastrozole	temozolomide	T98G	7.35941947171325	7
Andrographolide	temozolomide	T98G	12.2785362558285	4
aniracetam	temozolomide	T98G	9.94610575055052	4
Apatinib	temozolomide	T98G	24.194585641915	8
Apixaban	temozolomide	T98G	5.80974999867343	6
AR-42	temozolomide	T98G	7.69825299199509	9
arbutin	temozolomide	T98G	16.4760550166976	8
arecoline	temozolomide	T98G	24.9959509238549	0
Artemether	temozolomide	T98G	3.90985761034658	8
AS-604850	temozolomide	T98G	24.7552085031228	9
Asenapine	temozolomide	T98G	17.5733320929207	6
aspirin	temozolomide	T98G	19.8407054842908	6
AST-1306	temozolomide	T98G	38.3854685354573	4
Astragaloside A	temozolomide	T98G	10.7738674128086	9
Onalespib	temozolomide	T98G	3.1321891106836	8
ATORVASTATIN CALCIUM	temozolomide	T98G	20.6112604230188	8
ATOVAQUONE	temozolomide	T98G	12.9807676992987	3
Aurora A Inhibitor I	temozolomide	T98G	19.9692920553257	7
Avasimibe	temozolomide	T98G	23.8568162083449	3
Avobenzone	temozolomide	T98G	8.77178337055143	2
Axitinib	temozolomide	T98G	6.11950708547366	9
Sapitinib	temozolomide	T98G	31.2021149990363	4
Azelnidipine	temozolomide	T98G	8.26895308313681	0
azithromycin	temozolomide	T98G	13.1185018875624	3
aztreonam	temozolomide	T98G	4.40167963478292	7
baicalein	temozolomide	T98G	7.84299640704231	1
Bardoxolone methyl	temozolomide	T98G	10.142819668676	9
batimastat	temozolomide	T98G	37.4911386704916	6
Belinostat	temozolomide	T98G	20.3308921010261	0
bergenin	temozolomide	T98G	3.46785075827744	4
betaxolol	temozolomide	T98G	6.52831816400258	8
Bexarotene	temozolomide	T98G	30.0670930583248	1
BI-D1870	temozolomide	T98G	7.66346375167629	9
