drugname1	drugname2	cell_line	synergy	fold
5-FU	ABT-888	A2058	8.85	2
5-FU	AZD1775	A2058	11.2075	1
5-FU	BEZ-235	A2058	3.8375	6
5-FU	DASATINIB	A2058	7.57	5
5-FU	DINACICLIB	A2058	5.715	5
5-FU	ERLOTINIB	A2058	11.585	2
5-FU	GELDANAMYCIN	A2058	6.025	0
5-FU	L778123	A2058	7.672499999999999	3
5-FU	LAPATINIB	A2058	9.6275	9
5-FU	MK-2206	A2058	8.74	8
5-FU	MK-5108	A2058	7.952499999999999	4
5-FU	MK-8669	A2058	10.5475	8
5-FU	MK-8776	A2058	5.055	0
5-FU	PD325901	A2058	3.7025	4
5-FU	SORAFENIB	A2058	14.2475	7
5-FU	SUNITINIB	A2058	14.155	5
5-FU	ZOLINZA	A2058	10.275	1
ABT-888	BEZ-235	A2058	11.33	3
ABT-888	DINACICLIB	A2058	7.5175	2
ABT-888	GELDANAMYCIN	A2058	13.954999999999998	6
ABT-888	MK-8669	A2058	9.9125	0
ABT-888	MK-8776	A2058	4.7075	2
ABT-888	OXALIPLATIN	A2058	4.5025	4
ABT-888	SN-38	A2058	22.42	9
ABT-888	SORAFENIB	A2058	36.395	2
AZD1775	ABT-888	A2058	8.59	5
AZD1775	BEZ-235	A2058	3.9975	6
AZD1775	DASATINIB	A2058	7.701249999999999	2
AZD1775	ERLOTINIB	A2058	6.6175	7
AZD1775	GELDANAMYCIN	A2058	7.165000000000001	6
AZD1775	LAPATINIB	A2058	9.515	3
AZD1775	MK-2206	A2058	7.694999999999999	0
AZD1775	MK-4827	A2058	16.075	9
AZD1775	MK-8669	A2058	13.9375	2
AZD1775	MK-8776	A2058	23.80625	3
AZD1775	OXALIPLATIN	A2058	6.1675	6
AZD1775	PD325901	A2058	6.7025	6
AZD1775	SN-38	A2058	9.28	9
AZD1775	SORAFENIB	A2058	9.925	4
AZD1775	TOPOTECAN	A2058	5.77	9
BEZ-235	DINACICLIB	A2058	5.135	9
BEZ-235	MK-8776	A2058	8.785	8
BEZ-235	OXALIPLATIN	A2058	9.085	2
BEZ-235	SORAFENIB	A2058	10.5875	3
BORTEZOMIB	ABT-888	A2058	5.7775	5
BORTEZOMIB	BEZ-235	A2058	4.6075	3
BORTEZOMIB	DASATINIB	A2058	3.93	7
BORTEZOMIB	MK-8776	A2058	4.7575	9
BORTEZOMIB	SN-38	A2058	13.5225	9
BORTEZOMIB	SORAFENIB	A2058	13.985	9
CARBOPLATIN	AZD1775	A2058	14.3125	3
CARBOPLATIN	BORTEZOMIB	A2058	3.71	0
CARBOPLATIN	DASATINIB	A2058	5.3225	0
CARBOPLATIN	DINACICLIB	A2058	7.25	3
CARBOPLATIN	ERLOTINIB	A2058	7.1125	6
CARBOPLATIN	GELDANAMYCIN	A2058	7.6375	5
CARBOPLATIN	L778123	A2058	6.010000000000001	0
CARBOPLATIN	LAPATINIB	A2058	7.8225	7
CARBOPLATIN	MK-2206	A2058	5.555	4
CARBOPLATIN	MK-8669	A2058	5.4325	9
CARBOPLATIN	MK-8776	A2058	9.0375	1
CARBOPLATIN	SUNITINIB	A2058	9.405	7
CARBOPLATIN	ZOLINZA	A2058	10.595	1
CYCLOPHOSPHAMIDE	ABT-888	A2058	18.4625	3
CYCLOPHOSPHAMIDE	AZD1775	A2058	7.4525	3
CYCLOPHOSPHAMIDE	BEZ-235	A2058	8.185	5
CYCLOPHOSPHAMIDE	BORTEZOMIB	A2058	5.845	2
CYCLOPHOSPHAMIDE	DASATINIB	A2058	4.637499999999999	3
CYCLOPHOSPHAMIDE	DINACICLIB	A2058	9.235	6
CYCLOPHOSPHAMIDE	ERLOTINIB	A2058	4.1325	9
CYCLOPHOSPHAMIDE	GELDANAMYCIN	A2058	7.865	9
CYCLOPHOSPHAMIDE	L778123	A2058	9.7425	5
CYCLOPHOSPHAMIDE	LAPATINIB	A2058	7.8975	5
CYCLOPHOSPHAMIDE	MK-2206	A2058	8.567499999999999	9
CYCLOPHOSPHAMIDE	MK-4827	A2058	5.444999999999999	0
CYCLOPHOSPHAMIDE	MK-5108	A2058	5.2875	8
CYCLOPHOSPHAMIDE	MK-8669	A2058	11.29	3
CYCLOPHOSPHAMIDE	PD325901	A2058	6.77	8
CYCLOPHOSPHAMIDE	SORAFENIB	A2058	13.945	1
CYCLOPHOSPHAMIDE	SUNITINIB	A2058	16.3775	0
CYCLOPHOSPHAMIDE	TEMOZOLOMIDE	A2058	11.87	3
CYCLOPHOSPHAMIDE	ZOLINZA	A2058	13.43	0
DASATINIB	BEZ-235	A2058	9.185	0
DASATINIB	DINACICLIB	A2058	7.8975	4
DASATINIB	MK-8669	A2058	12.16	7
DASATINIB	MK-8776	A2058	5.984999999999999	1
DASATINIB	OXALIPLATIN	A2058	7.5175	8
DASATINIB	SN-38	A2058	6.32	8
DASATINIB	SORAFENIB	A2058	15.305	5
DEXAMETHASONE	BEZ-235	A2058	8.2575	2
DEXAMETHASONE	BORTEZOMIB	A2058	4.029999999999999	5
DEXAMETHASONE	GELDANAMYCIN	A2058	8.7775	4
DEXAMETHASONE	L778123	A2058	4.625	1
DEXAMETHASONE	MK-2206	A2058	8.5675	3
DEXAMETHASONE	MK-8669	A2058	11.3725	6
DEXAMETHASONE	PD325901	A2058	11.3625	4
DEXAMETHASONE	SORAFENIB	A2058	19.6575	9
DEXAMETHASONE	SUNITINIB	A2058	17.79	4
DEXAMETHASONE	ZOLINZA	A2058	8.2975	1
ERLOTINIB	BEZ-235	A2058	6.875	8
ERLOTINIB	DASATINIB	A2058	8.095	2
ERLOTINIB	GELDANAMYCIN	A2058	6.3725	6
ERLOTINIB	MK-8669	A2058	19.3625	7
ERLOTINIB	MK-8776	A2058	4.78	9
ERLOTINIB	PD325901	A2058	4.012499999999999	0
ERLOTINIB	SN-38	A2058	7.9375	4
ERLOTINIB	SORAFENIB	A2058	9.4075	6
ERLOTINIB	TOPOTECAN	A2058	10.095	2
ETOPOSIDE	ABT-888	A2058	4.0975	5
ETOPOSIDE	AZD1775	A2058	8.995000000000001	7
ETOPOSIDE	GELDANAMYCIN	A2058	8.405	1
ETOPOSIDE	MK-2206	A2058	5.8075	8
ETOPOSIDE	MK-8776	A2058	9.537499999999998	6
ETOPOSIDE	PD325901	A2058	4.1375	6
ETOPOSIDE	ZOLINZA	A2058	7.1675	4
GELDANAMYCIN	BEZ-235	A2058	6.2425	5
GELDANAMYCIN	DINACICLIB	A2058	4.7375	0
GELDANAMYCIN	MK-8776	A2058	13.025	6
GELDANAMYCIN	OXALIPLATIN	A2058	9.465	5
GELDANAMYCIN	SN-38	A2058	10.075	1
GELDANAMYCIN	SORAFENIB	A2058	16.6375	7
GELDANAMYCIN	TOPOTECAN	A2058	6.5775	9
GEMCITABINE	ABT-888	A2058	5.4350000000000005	5
GEMCITABINE	AZD1775	A2058	14.335	4
GEMCITABINE	BEZ-235	A2058	7.6275	2
GEMCITABINE	BORTEZOMIB	A2058	8.05	7
GEMCITABINE	DINACICLIB	A2058	7.735	9
GEMCITABINE	ERLOTINIB	A2058	7.377499999999999	4
GEMCITABINE	GELDANAMYCIN	A2058	7.385	3
GEMCITABINE	LAPATINIB	A2058	6.7875	1
GEMCITABINE	MK-2206	A2058	11.835	3
