drugname1	drugname2	cell_line	synergy	fold
5-FU	ABT-888	A2058	8.129999999999999	8
5-FU	AZD1775	A2058	14.0975	3
5-FU	BEZ-235	A2058	7.5975	6
5-FU	DASATINIB	A2058	12.6675	7
5-FU	DINACICLIB	A2058	7.72	2
5-FU	ERLOTINIB	A2058	14.345	4
5-FU	GELDANAMYCIN	A2058	8.8725	6
5-FU	L778123	A2058	12.38	2
5-FU	LAPATINIB	A2058	11.1625	9
5-FU	MK-2206	A2058	12.57	0
5-FU	MK-5108	A2058	10.88	3
5-FU	MK-8669	A2058	14.6375	9
5-FU	MK-8776	A2058	10.6975	4
5-FU	PD325901	A2058	7.647500000000001	1
5-FU	SORAFENIB	A2058	12.97	7
5-FU	SUNITINIB	A2058	17.17	3
5-FU	TEMOZOLOMIDE	A2058	5.0525	2
5-FU	ZOLINZA	A2058	9.39	7
ABT-888	BEZ-235	A2058	11.09	2
ABT-888	DINACICLIB	A2058	7.057499999999999	7
ABT-888	GELDANAMYCIN	A2058	13.63	2
ABT-888	MK-8669	A2058	9.267499999999998	3
ABT-888	MK-8776	A2058	4.3775	4
ABT-888	SN-38	A2058	22.0925	7
ABT-888	SORAFENIB	A2058	33.965	8
AZD1775	ABT-888	A2058	8.265	6
AZD1775	BEZ-235	A2058	8.8025	4
AZD1775	DASATINIB	A2058	11.89375	4
AZD1775	DINACICLIB	A2058	5.27	2
AZD1775	ERLOTINIB	A2058	9.4575	2
AZD1775	GELDANAMYCIN	A2058	11.0325	5
AZD1775	LAPATINIB	A2058	11.235	0
AZD1775	MK-2206	A2058	11.295	3
AZD1775	MK-4827	A2058	21.275	3
AZD1775	MK-5108	A2058	3.9175	8
AZD1775	MK-8669	A2058	17.96	0
AZD1775	MK-8776	A2058	28.925	9
AZD1775	OXALIPLATIN	A2058	7.195	4
AZD1775	PD325901	A2058	10.325	7
AZD1775	SN-38	A2058	12.12	2
AZD1775	SORAFENIB	A2058	9.475	7
AZD1775	TOPOTECAN	A2058	9.7525	9
BEZ-235	DINACICLIB	A2058	8.825	0
BEZ-235	MK-8776	A2058	15.7525	1
BEZ-235	OXALIPLATIN	A2058	11.39	0
BEZ-235	SN-38	A2058	5.902500000000001	1
BEZ-235	SORAFENIB	A2058	10.7475	4
BORTEZOMIB	BEZ-235	A2058	3.9575	5
BORTEZOMIB	SN-38	A2058	11.65	4
BORTEZOMIB	SORAFENIB	A2058	11.94	1
CARBOPLATIN	AZD1775	A2058	16.7375	3
CARBOPLATIN	BEZ-235	A2058	5.3325	4
CARBOPLATIN	DASATINIB	A2058	8.629999999999999	3
CARBOPLATIN	DINACICLIB	A2058	8.805	4
CARBOPLATIN	ERLOTINIB	A2058	9.0175	7
CARBOPLATIN	GELDANAMYCIN	A2058	10.1475	9
CARBOPLATIN	L778123	A2058	8.8925	3
CARBOPLATIN	LAPATINIB	A2058	8.790000000000001	7
CARBOPLATIN	MK-2206	A2058	7.93	0
CARBOPLATIN	MK-4827	A2058	7.405	0
CARBOPLATIN	MK-5108	A2058	4.245	8
CARBOPLATIN	MK-8669	A2058	7.689999999999999	6
CARBOPLATIN	MK-8776	A2058	12.0825	5
CARBOPLATIN	SUNITINIB	A2058	11.96	5
CARBOPLATIN	ZOLINZA	A2058	10.0225	9
CYCLOPHOSPHAMIDE	ABT-888	A2058	11.35	3
CYCLOPHOSPHAMIDE	BEZ-235	A2058	4.41	9
CYCLOPHOSPHAMIDE	DINACICLIB	A2058	4.7	5
CYCLOPHOSPHAMIDE	GELDANAMYCIN	A2058	4.49	6
CYCLOPHOSPHAMIDE	MK-8669	A2058	5.385	7
CYCLOPHOSPHAMIDE	SORAFENIB	A2058	8.385	9
CYCLOPHOSPHAMIDE	SUNITINIB	A2058	11.5675	6
CYCLOPHOSPHAMIDE	TEMOZOLOMIDE	A2058	7.400000000000001	9
CYCLOPHOSPHAMIDE	ZOLINZA	A2058	7.8125	8
DASATINIB	BEZ-235	A2058	13.595000000000002	0
DASATINIB	DINACICLIB	A2058	10.329999999999998	7
DASATINIB	MK-8669	A2058	18.8025	2
DASATINIB	MK-8776	A2058	13.416250000000002	8
DASATINIB	OXALIPLATIN	A2058	9.0475	3
DASATINIB	SN-38	A2058	10.44	2
DASATINIB	SORAFENIB	A2058	14.515	8
DASATINIB	TOPOTECAN	A2058	4.7925	7
DEXAMETHASONE	SORAFENIB	A2058	11.45	5
DEXAMETHASONE	SUNITINIB	A2058	10.69	4
DOXORUBICIN	AZD1775	A2058	5.4175	2
DOXORUBICIN	GELDANAMYCIN	A2058	4.5875	9
DOXORUBICIN	L778123	A2058	4.245	1
ERLOTINIB	BEZ-235	A2058	10.405	9
ERLOTINIB	DASATINIB	A2058	12.0475	4
ERLOTINIB	DINACICLIB	A2058	5.6275	2
ERLOTINIB	GELDANAMYCIN	A2058	8.9025	9
ERLOTINIB	MK-8669	A2058	22.69	1
ERLOTINIB	MK-8776	A2058	9.62	0
ERLOTINIB	PD325901	A2058	7.51	7
ERLOTINIB	SN-38	A2058	10.32	4
ERLOTINIB	SORAFENIB	A2058	8.317499999999999	2
ERLOTINIB	TOPOTECAN	A2058	12.875000000000002	6
ETOPOSIDE	AZD1775	A2058	12.3075	0
ETOPOSIDE	BEZ-235	A2058	5.5325	9
ETOPOSIDE	DINACICLIB	A2058	6.637499999999999	0
ETOPOSIDE	GELDANAMYCIN	A2058	13.325	2
ETOPOSIDE	MK-2206	A2058	8.2725	1
ETOPOSIDE	MK-4827	A2058	4.57	8
ETOPOSIDE	MK-5108	A2058	5.8875	8
ETOPOSIDE	MK-8776	A2058	14.3075	6
ETOPOSIDE	PD325901	A2058	6.88	5
