drugname1	drugname2	cell_line	synergy	fold
5-FU	AZD1775	A2058	9.8175	1
5-FU	ERLOTINIB	A2058	8.252500000000001	8
5-FU	GELDANAMYCIN	A2058	6.057499999999999	7
5-FU	L778123	A2058	4.6525	7
5-FU	LAPATINIB	A2058	4.92	2
5-FU	MK-2206	A2058	6.484999999999999	4
5-FU	MK-5108	A2058	7.78	4
5-FU	MK-8669	A2058	8.432500000000001	8
5-FU	MK-8776	A2058	2.8275	1
5-FU	SORAFENIB	A2058	11.155	4
5-FU	SUNITINIB	A2058	13.5325	9
5-FU	ZOLINZA	A2058	6.4875	4
ABT-888	BEZ-235	A2058	11.322500000000002	5
ABT-888	DINACICLIB	A2058	6.445	6
ABT-888	GELDANAMYCIN	A2058	14.5725	0
ABT-888	MK-8669	A2058	5.375000000000001	6
ABT-888	MK-8776	A2058	3.375	9
ABT-888	SN-38	A2058	20.3925	1
ABT-888	SORAFENIB	A2058	37.587500000000006	4
ABT-888	TOPOTECAN	A2058	3.795	3
AZD1775	ABT-888	A2058	7.1675	0
AZD1775	BEZ-235	A2058	4.7525	5
AZD1775	BORTEZOMIB	A2058	2.76	5
AZD1775	DASATINIB	A2058	5.79875	8
AZD1775	DINACICLIB	A2058	4.5200000000000005	9
AZD1775	ERLOTINIB	A2058	4.8875	0
AZD1775	GELDANAMYCIN	A2058	8.985	2
AZD1775	LAPATINIB	A2058	8.7375	8
AZD1775	MK-2206	A2058	5.045	8
AZD1775	MK-4827	A2058	19.76	9
AZD1775	MK-8669	A2058	11.607500000000002	9
AZD1775	MK-8776	A2058	26.155	7
AZD1775	OXALIPLATIN	A2058	5.925	4
AZD1775	PD325901	A2058	5.090000000000001	6
AZD1775	SN-38	A2058	9.315	6
AZD1775	SORAFENIB	A2058	8.92	9
AZD1775	TOPOTECAN	A2058	6.66	3
BEZ-235	DINACICLIB	A2058	5.195	8
BEZ-235	MK-8776	A2058	10.52	0
BEZ-235	OXALIPLATIN	A2058	9.5975	8
BEZ-235	SORAFENIB	A2058	10.0875	5
BORTEZOMIB	BEZ-235	A2058	4.672499999999999	9
BORTEZOMIB	GELDANAMYCIN	A2058	3.5625	3
BORTEZOMIB	MK-8776	A2058	4.275	9
BORTEZOMIB	SN-38	A2058	15.025	3
BORTEZOMIB	SORAFENIB	A2058	12.895	0
BORTEZOMIB	TOPOTECAN	A2058	2.6475	2
CARBOPLATIN	AZD1775	A2058	14.8	0
CARBOPLATIN	BEZ-235	A2058	2.645	3
CARBOPLATIN	BORTEZOMIB	A2058	3.3725	2
CARBOPLATIN	DASATINIB	A2058	5.755	8
CARBOPLATIN	DINACICLIB	A2058	7.7325	6
CARBOPLATIN	ERLOTINIB	A2058	7.015000000000001	1
CARBOPLATIN	GELDANAMYCIN	A2058	9.1225	5
CARBOPLATIN	L778123	A2058	4.02	2
CARBOPLATIN	LAPATINIB	A2058	7.08	4
CARBOPLATIN	MK-2206	A2058	4.48	4
CARBOPLATIN	MK-4827	A2058	5.8325	7
CARBOPLATIN	MK-8669	A2058	4.67	4
CARBOPLATIN	MK-8776	A2058	10.7575	9
CARBOPLATIN	SUNITINIB	A2058	9.555	7
CARBOPLATIN	ZOLINZA	A2058	10.5275	2
CYCLOPHOSPHAMIDE	ABT-888	A2058	12.9625	3
CYCLOPHOSPHAMIDE	AZD1775	A2058	6.7925	8
CYCLOPHOSPHAMIDE	BEZ-235	A2058	9.3525	0
CYCLOPHOSPHAMIDE	BORTEZOMIB	A2058	4.33	9
CYCLOPHOSPHAMIDE	DINACICLIB	A2058	7.9725	5
CYCLOPHOSPHAMIDE	GELDANAMYCIN	A2058	10.4975	2
CYCLOPHOSPHAMIDE	L778123	A2058	3.2375	2
CYCLOPHOSPHAMIDE	MK-2206	A2058	4.34	6
CYCLOPHOSPHAMIDE	MK-4827	A2058	6.7875	2
CYCLOPHOSPHAMIDE	MK-5108	A2058	3.9875	4
CYCLOPHOSPHAMIDE	MK-8669	A2058	5.677499999999999	7
CYCLOPHOSPHAMIDE	MK-8776	A2058	4.4725	8
CYCLOPHOSPHAMIDE	PD325901	A2058	5.2	2
CYCLOPHOSPHAMIDE	SORAFENIB	A2058	10.875	9
CYCLOPHOSPHAMIDE	SUNITINIB	A2058	13.7125	5
CYCLOPHOSPHAMIDE	TEMOZOLOMIDE	A2058	11.1125	0
CYCLOPHOSPHAMIDE	ZOLINZA	A2058	9.985	7
DASATINIB	BEZ-235	A2058	9.2025	1
DASATINIB	DINACICLIB	A2058	6.96	7
DASATINIB	MK-8669	A2058	10.95	3
DASATINIB	MK-8776	A2058	5.6975	2
DASATINIB	OXALIPLATIN	A2058	3.7225	5
DASATINIB	SORAFENIB	A2058	13.4575	5
DEXAMETHASONE	ABT-888	A2058	5.45	5
DEXAMETHASONE	AZD1775	A2058	5.225	3
DEXAMETHASONE	BEZ-235	A2058	9.975	2
DEXAMETHASONE	BORTEZOMIB	A2058	5.385	6
DEXAMETHASONE	DASATINIB	A2058	2.6975	1
DEXAMETHASONE	DINACICLIB	A2058	7.205	7
DEXAMETHASONE	GELDANAMYCIN	A2058	11.3325	3
DEXAMETHASONE	LAPATINIB	A2058	4.18	6
DEXAMETHASONE	MK-2206	A2058	6.6625	8
DEXAMETHASONE	MK-5108	A2058	4.1850000000000005	1
DEXAMETHASONE	MK-8669	A2058	7.69	0
DEXAMETHASONE	MK-8776	A2058	5.6175	7
DEXAMETHASONE	PD325901	A2058	11.177499999999998	5
DEXAMETHASONE	SORAFENIB	A2058	17.79	2
DEXAMETHASONE	SUNITINIB	A2058	16.935000000000002	6
DEXAMETHASONE	ZOLINZA	A2058	9.5725	9
DOXORUBICIN	AZD1775	A2058	3.1025	5
DOXORUBICIN	L778123	A2058	4.18	0
DOXORUBICIN	LAPATINIB	A2058	3.115	2
DOXORUBICIN	PD325901	A2058	3.6625	1
ERLOTINIB	BEZ-235	A2058	7.022499999999999	4
ERLOTINIB	DASATINIB	A2058	5.085	8
ERLOTINIB	GELDANAMYCIN	A2058	6.157500000000001	6
ERLOTINIB	MK-8669	A2058	18.08	4
ERLOTINIB	MK-8776	A2058	4.125	9
ERLOTINIB	SN-38	A2058	6.487500000000001	3
ERLOTINIB	SORAFENIB	A2058	8.445	9
ERLOTINIB	TOPOTECAN	A2058	13.74	3
